"Include";"Name";"DataType";"Realization";"Description";"ExampleValue";"Terminology"
"";"";"";"In rest";"";"";"SCT:128975004 resting state"
"";"";"";"Post exercise";"";"";"SCT:128978002 post exercise state"
"";"";"";"During exercise";"";"";"SCT:128976003 exercise state"
"Required";"  Method";"Coded Description";"";"De wijze waarop de hartslag is geteld en geobserveerd.

--DCM::Language=nl

The way how the heart rate is measured and observed.";"";"SCT:84203001 has method"
"";"";"";"Auscultation";"De hartslag wordt vastgesteld door middel van auscultatie.

The heart rate is determined by auscultation.";"";"SCT:37931006 auscultation"
"";"";"";"BedsideMonitor";"De hartslag wordt vastgesteld door middel van een bewakingsmonitor.

The heart rate is determined by continious monitoring.";"";"SCT:88140007 cardiac monitor surveillance"
"";"";"";"ECG";"De hartslag wordt vastgesteld door middel van een Elektrocardiogram (ECG).

The heart rate is determined by an electrocardiographic monitoring";"";"SCT:46825001 ecg monitoring"
"";"";"";"Palpation/ manual";"De hartslag wordt aan een perifere arterie bepaald door middel van palpatie.

The heart rate is determined by palpation on a peripheral artery.";"";"SnomedCT:113011001 displayName Palpation"
"";"";"";"Ultrasound";"";"";"SnomedCT:16310003 Ultrasound(procedure)"
"Required";"  DurationMeasure";"Physical Quantity";"";"Time used for this measure (e.g. 15 seconds, 1 minute).

--DCM::Language=nl 

Duur van de meting (bv 15 seconden, 1 minuut).";"";"LOINC:code 8888-0 displayName Heart rate measure duration"
